	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S7	S70	S72	S8	S9
ASV_973	0	0	0	0	65	89	72	0	0	0	0	0	3	0	13	18	5	0	0	0	0	0	0	0	0	0	4	3	6	10	15	12	0	10	0	0	24	20	19	4	7	6	0	0	4	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_974	0	0	0	0	0	0	0	0	0	0	0	0	14	4	6	26	21	0	0	0	4	3	0	2	0	0	21	24	24	1	0	1	2	0	2	4	100	42	83	2	4	3	15	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_975	0	6	0	3	0	0	0	0	0	0	5	0	8	13	24	33	37	0	2	0	0	4	0	0	0	0	43	34	44	8	16	16	1	0	0	2	43	15	23	13	7	2	5	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_976	0	4	0	0	0	0	0	0	0	0	4	0	2	2	3	1	8	0	0	0	0	0	0	0	0	0	4	5	1	17	33	53	0	0	0	0	2	8	0	5	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	8	9	0	0	0	0	0	0	0	133	0	0	30	76
ASV_977	0	1	0	0	0	0	0	0	0	0	10	0	18	8	69	60	80	0	0	0	0	1	0	0	0	0	2	0	0	0	6	3	0	31	0	0	4	0	4	0	0	3	1	0	38	0	1	17	4	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_978	0	0	0	0	0	0	0	0	0	0	115	0	106	131	7	1	8	0	0	0	0	0	0	0	0	0	21	7	15	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_979	0	2	3	15	13	12	19	0	0	0	0	0	0	0	0	0	0	10	9	7	12	5	0	3	0	0	1	3	0	1	0	1	0	0	0	0	9	10	4	5	1	5	3	0	2	1	0	0	0	0	0	0	0	0	0	0	14	18	21	0	0	0	0	0	0	0	116	0	0	21	68
ASV_980	0	0	2	0	0	0	0	0	0	0	26	0	32	23	81	107	120	0	0	0	0	0	0	1	0	0	6	8	3	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	133	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	3	5	11	1	16	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_982	0	5	6	11	0	0	0	12	5	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	88	114	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
