#ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1350	Eukaryota	unknown	Dinophyceae	unknown	unknown	Spiniferites	Spiniferites ramosus
ASV_1351	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_1352	Eukaryota	Cercozoa	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1353	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	unassigned	unassigned
ASV_1354	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1355	Eukaryota	unknown	Chrysophyceae	Chromulinales	Paraphysomonadaceae	Paraphysomonas	unassigned
ASV_1356	Eukaryota	Cryptophyta	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1357	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1358	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Tovelliaceae	Esoptrodinium	unassigned
ASV_1359	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	Cryothecomonas longipes
ASV_1360	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1361	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae	unassigned	unassigned
ASV_1362	Eukaryota	Ciliophora	Spirotrichea	Tintinnida	Ptychocylididae	Cymatocylis	unassigned
ASV_1363	Eukaryota	unknown	Haptophyta	Prymnesiales	Prymnesiaceae	unassigned	unassigned
ASV_1364	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1365	Eukaryota	Apicomplexa	Conoidasida	Eucoccidiorida	Eimeriidae	unassigned	unassigned
ASV_1366	Eukaryota	Ciliophora	Spirotrichea	unassigned	unassigned	unassigned	unassigned
ASV_1367	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1368	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_1369	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_1370	Eukaryota	unknown	Dinophyceae	Blastodiniales	unknown	Blastodinium	unassigned
ASV_1371	Eukaryota	Bacillariophyta	Mediophyceae	Lithodesmiales	Lithodesmiaceae	Ditylum	Ditylum brightwellii
ASV_1372	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Pleurosigmataceae	unassigned	unassigned
ASV_1373	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1374	Eukaryota	unknown	unknown	unknown	Hartmannellidae	unassigned	unassigned
ASV_1375	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_1376	Eukaryota	Chlorophyta	unknown	Pyramimonadales	unknown	Pterosperma	Pterosperma cristatum
ASV_1377	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1378	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1379	Eukaryota	Cryptophyta	unknown	Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila
ASV_1380	Eukaryota	unknown	unknown	unknown	Pterocystidae	Pterocystis	unassigned
ASV_1381	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1382	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1383	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	Proboscia	unassigned
ASV_1384	Eukaryota	unknown	unknown	unknown	unknown	unknown	eukaryote clone OLI11023
ASV_1385	Eukaryota	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	unassigned
ASV_1386	Eukaryota	unknown	Dinophyceae	unknown	unknown	Theleodinium	Theleodinium calcisporum
ASV_1387	Eukaryota	unknown	Dinophyceae	Gonyaulacales	Goniodomataceae	Goniodoma	Goniodoma polyedricum
ASV_1388	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_1389	Eukaryota	Cercozoa	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1390	Eukaryota	Euglenida	unknown	unknown	unknown	Rapaza	Rapaza viridis
ASV_1391	Eukaryota	Chordata	Appendicularia	unassigned	unassigned	unassigned	unassigned
ASV_1392	Eukaryota	Cercozoa	unknown	Thaumatomonadida	unassigned	unassigned	unassigned
ASV_1393	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	unassigned
ASV_1394	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1395	Eukaryota	unknown	unknown	Diplonemea	Hemistasiidae	Hemistasia	Hemistasia phaeocysticola
ASV_1396	Eukaryota	unknown	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Ensiculifera	Ensiculifera imariensis
